Mã CK,ROE Năm (%),Tăng trưởng LNST (%),P/E,D/E,Tăng_trưởng_YoY_thật,ROE_TTM_thật
PSD,22.2,111.7,5.7,N/A,False,True
MED,70.7,181.6,16.7,N/A,False,True
QPH,18.1,41.0,8.2,N/A,False,True
HSA,59.1,2505.3,5.1,N/A,False,True
TNG,20.6,157.6,5.7,N/A,False,True
COM,145.1,499.9,15.3,N/A,False,True
SGC,31.5,24.0,4.6,N/A,False,True
BSR,80.2,659.7,10.5,N/A,False,True
LBM,21.2,57.8,10.6,N/A,False,True
DS3,150.6,15.9,7.5,N/A,False,True
S55,78.2,295.0,4.7,N/A,False,True
OPC,12.6,56.5,13.3,N/A,False,True
LSS,175.6,58.9,6.5,N/A,False,True
BID,18.4,93.8,9.1,N/A,False,True
DWC,18.1,93.1,6.5,N/A,False,True
HAT,67.9,587.6,7.5,N/A,False,True
TED,23.6,30.4,9.7,N/A,False,True
MSB,14.2,46.3,6.0,N/A,False,True
LDP,19.9,2011.8,5.5,N/A,False,True
VQC,14.8,104.2,15.3,N/A,False,True
PC1,13.7,355.0,7.8,N/A,False,True
PGV,88.1,2438.2,5.9,N/A,False,True
NCT,55.8,91.5,6.1,N/A,False,True
MKV,17.7,256.7,4.5,N/A,False,True
VNY,65.4,622.7,10.8,N/A,False,True
VAB,13.8,57.7,5.0,N/A,False,True
VLW,13.8,146.1,13.0,N/A,False,True
TD6,169.4,532.8,7.5,N/A,False,True
LPT,25.9,354.1,7.7,N/A,False,True
THG,21.2,39.6,8.2,N/A,False,True
BAB,103.6,82.5,9.8,N/A,False,True
BAX,16.3,86.3,7.8,N/A,False,True
DRL,42.9,26.7,8.9,N/A,False,True
CMT,17.2,95.1,2.0,N/A,False,True
NDP,14.2,38.4,15.4,N/A,False,True
VHM,17.4,910.5,12.4,N/A,False,True
VPB,15.2,106.3,9.5,N/A,False,True
VPX,17.4,240.5,15.7,N/A,False,True
VCX,44.7,131.4,7.0,N/A,False,True
TDG,73.4,199.8,13.4,N/A,False,True
NRC,131.0,1461.7,14.1,N/A,False,True
AME,118.4,506.6,11.7,N/A,False,True
SHP,24.1,577.0,11.6,N/A,False,True
L62,273.1,75.7,-0.2,N/A,False,True
GDT,23.1,37.4,6.8,N/A,False,True
CNG,102.1,241.1,12.4,N/A,False,True
FCM,229.2,45.5,8.8,N/A,False,True
TPB,18.4,50.8,6.2,N/A,False,True
S4A,25.1,285.2,9.4,N/A,False,True
VCG,33.9,129.2,3.5,N/A,False,True
PVD,100.2,162.1,15.3,N/A,False,True
VE8,132.5,80.4,-0.5,N/A,False,True
VE3,57.2,14562.6,4.5,N/A,False,True
VNH,639.8,6423.8,0.7,N/A,False,True
DRC,54.9,317.5,16.1,N/A,False,True
QHD,19.6,49.3,11.7,N/A,False,True
QNC,98.7,239.5,10.7,N/A,False,True
ITD,15.3,496.1,3.1,N/A,False,True
BHA,16.9,595.5,9.1,N/A,False,True
TLP,186.7,360.9,9.2,N/A,False,True
BSA,112.9,687.9,9.5,N/A,False,True
HDC,84.1,126.6,6.4,N/A,False,True
CTG,21.1,101.7,5.5,N/A,False,True
XDH,103.8,926.2,15.6,N/A,False,True
TDW,24.7,101.5,6.9,N/A,False,True
DNN,28.1,66.5,1.0,N/A,False,True
DVN,16.9,296.3,8.2,N/A,False,True
